"19","21901324","4","4","0","0","2.05",NULL,NULL,NULL
"19","21912371","4","0","0","0","2.01;2.05",NULL,NULL,NULL
"19","21912373","4","0","0","0","2.01;2.05",NULL,"NULL;NULL",
"20","21605241","3","1","0","0","2.01;2.05","1.01",NULL,NULL
"20","21901324","1","3","0","0",NULL,"1.01",NULL,NULL
"20","21912371","4","0","0","0","2.05",NULL,NULL,NULL
"20","21912373","4","0","0","0","2.01",NULL,"NULL;NULL",
"21","21605241","0","1","3","0",NULL,"1.05","1.06;3.04",NULL
"21","21901324","0","4","0","0",NULL,"1.05",NULL,NULL
"21","21912371","0","1","3","0",NULL,"5.03","1.05;2.02",NULL
"21","21912373","0","4","0","0",NULL,"1.05;1.06;1.11;2.02",NULL,NULL
"22","21605241","0","4","0","0",NULL,"1.05;2.02;2.08",NULL,NULL
"22","21901324","0","4","0","0",NULL,"1.05;2.08;4.03",NULL,NULL
"22","21912371","0","4","0","0",NULL,"1.05;2.08",NULL,NULL
"22","21912373","0","4","0","0",NULL,"1.05;1.11;2.08",NULL,NULL
"23","21605241","1","3","0","0","2.01","1.05;1.06;2.05",NULL,NULL
"23","21901324","0","4","0","0",NULL,"1.05;1.06;2.02",NULL,NULL
"23","21912371","0","4","0","0",NULL,"1.05;1.06",NULL,NULL
"23","21912373","0","2","2","0",NULL,"1.05;2.02","1.06;4.03",NULL
"24","21605241","3","1","0","0","2.01;2.05","1.05",NULL,NULL
"24","21901324","0","4","0","0",NULL,"2.05",NULL,NULL
"24","21912371","0","4","0","0",NULL,"1.05;2.05",NULL,NULL
"24","21912373","3","1","0","0","2.01;2.05","1.05",NULL,NULL
"25","21605241","3","1","0","0","1.11;2.02","1.05",NULL,NULL
"25","21901324","0","4","0","0",NULL,NULL,NULL,NULL
"25","21912371","4","0","0","0","1.05;1.07",NULL,NULL,NULL
"25","21912373","4","0","0","0","1.05;2.02",NULL,"NULL;NULL",
"26","21605241","0","0","4","0",NULL,NULL,"1.01;2.02;2.05;3.04",NULL
"26","21901324","0","4","0","0",NULL,"1.01;2.02",NULL,NULL
"26","21912371","0","0","4","0",NULL,NULL,"2.02;3.04",NULL
"26","21912373","0","0","4","0",NULL,NULL,"2.02;3.04",NULL
"27","21605241","0","1","3","0",NULL,"2.01","1.05;2.08",NULL
